source,source_record_id,species,scientific_name,observed_at,latitude,longitude,country,locality,life_stage,basis_of_record,coordinate_uncertainty_m,dataset_name,license,source_url,retrieved_at
gbif,6129849235,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-01-24T11:25:10,28.791683,-82.564178,United States of America,,Juvenile,HUMAN_OBSERVATION,29582.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6129849235,2026-09-23T07:34:06.001138+00:00
gbif,6129967631,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-01-13T13:07,24.942626,-80.614707,United States of America,,,HUMAN_OBSERVATION,30025.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6129967631,2026-09-23T07:34:06.001138+00:00
gbif,6130023506,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-01-15T18:13,-26.887805,153.050973,Australia,,,HUMAN_OBSERVATION,31.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6130023506,2026-09-23T07:34:06.001138+00:00
gbif,6130090491,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-01-17,26.642351,-79.940177,United States of America,,,HUMAN_OBSERVATION,29822.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6130090491,2026-09-23T07:34:06.001138+00:00
gbif,6130149287,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-01-10T07:45:33,-30.729627,30.589831,South Africa,,,HUMAN_OBSERVATION,29330.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6130149287,2026-09-23T07:34:06.001138+00:00
gbif,6130910696,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-01-05T07:38:03,23.523897,-109.55051,Mexico,,,HUMAN_OBSERVATION,30175.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6130910696,2026-09-23T07:34:06.001138+00:00
gbif,6130999421,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-01-17T15:30:29,29.118648,-80.826624,United States of America,,Juvenile,HUMAN_OBSERVATION,29533.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6130999421,2026-09-23T07:34:06.001138+00:00
gbif,6131079416,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-01-11T21:24:21,20.405575,-87.160937,Mexico,,,HUMAN_OBSERVATION,33329.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6131079416,2026-09-23T07:34:06.001138+00:00
gbif,6131431583,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-01-22T12:42:35,-18.473625,146.215513,Australia,,,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6131431583,2026-09-23T07:34:06.001138+00:00
gbif,6131674219,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-01-04T09:51,-19.843748,164.186189,New Caledonia,,,HUMAN_OBSERVATION,30527.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6131674219,2026-09-23T07:34:06.001138+00:00
gbif,6133335037,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-01-13T11:52:49,27.621199,-82.442086,United States of America,,Juvenile,HUMAN_OBSERVATION,29704.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6133335037,2026-09-23T07:34:06.001138+00:00
gbif,6133570230,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-01-28T17:22:37,29.109815,-80.855834,United States of America,,Juvenile,HUMAN_OBSERVATION,29533.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6133570230,2026-09-23T07:34:06.001138+00:00
gbif,6184742302,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-01-03T16:00,-24.11288,152.714019,Australia,,,HUMAN_OBSERVATION,637.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6184742302,2026-09-23T07:34:06.001138+00:00
gbif,6481240461,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-01-22T00:00,-33.824364,151.063281,Australia,,,HUMAN_OBSERVATION,17.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6481240461,2026-09-23T07:34:06.001138+00:00
gbif,6147198580,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-02-03T11:54:56,27.094081,-81.968164,United States of America,,,HUMAN_OBSERVATION,29775.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6147198580,2026-09-23T07:34:06.001138+00:00
gbif,6147647006,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-02-03T13:11:40,27.563358,-82.721171,United States of America,,,HUMAN_OBSERVATION,29727.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6147647006,2026-09-23T07:34:06.001138+00:00
gbif,6159313642,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-02-12T08:58:03,-18.474428,146.214937,Australia,,,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6159313642,2026-09-23T07:34:06.001138+00:00
gbif,6159543580,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-02-14T19:35:12,-27.588882,152.856319,Australia,,Juvenile,HUMAN_OBSERVATION,122.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6159543580,2026-09-23T07:34:06.001138+00:00
gbif,6163097245,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-02-16T15:35,27.779664,-82.413434,United States of America,,,HUMAN_OBSERVATION,29704.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6163097245,2026-09-23T07:34:06.001138+00:00
gbif,6163136626,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-02-16T16:40:59,-23.385133,150.524292,Australia,,,HUMAN_OBSERVATION,3.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6163136626,2026-09-23T07:34:06.001138+00:00
gbif,6171257530,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-02-15T15:03:06,-18.490222,146.256758,Australia,,Juvenile,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6171257530,2026-09-23T07:34:06.001138+00:00
gbif,6178405378,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-02-18T16:22,24.931656,-76.091714,Bahamas,,,HUMAN_OBSERVATION,70575.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6178405378,2026-09-23T07:34:06.001138+00:00
gbif,6178954133,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-02-20T10:23:22,-27.54582,152.837312,Australia,,Juvenile,HUMAN_OBSERVATION,111.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6178954133,2026-09-23T07:34:06.001138+00:00
gbif,6178996056,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-02-22T12:29:14,24.712394,-81.182545,United States of America,,Juvenile,HUMAN_OBSERVATION,30047.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6178996056,2026-09-23T07:34:06.001138+00:00
gbif,6179199665,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-02-22T12:29:53,24.660285,-81.714309,United States of America,,Juvenile,HUMAN_OBSERVATION,30047.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6179199665,2026-09-23T07:34:06.001138+00:00
gbif,6179367299,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-02-22T12:30,24.735482,-81.041238,United States of America,,Juvenile,HUMAN_OBSERVATION,30047.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6179367299,2026-09-23T07:34:06.001138+00:00
gbif,6185183928,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-02-04T17:39:40,-27.31734,153.076203,Australia,,,HUMAN_OBSERVATION,,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6185183928,2026-09-23T07:34:06.001138+00:00
gbif,6179078663,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-03-10T10:07:31,25.466816,-82.541473,United States of America,,,HUMAN_OBSERVATION,29958.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6179078663,2026-09-23T07:34:06.001138+00:00
gbif,6184898250,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-03-19T16:18:56,30.194713,-85.636262,United States of America,,,HUMAN_OBSERVATION,29407.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6184898250,2026-09-23T07:34:06.001138+00:00
gbif,6184901089,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-03-22T08:19,4.325995,73.480623,Maldives,,,HUMAN_OBSERVATION,31407.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6184901089,2026-09-23T07:34:06.001138+00:00
gbif,6185033442,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-03-28T17:16:06,-30.38453,30.77319,South Africa,,,HUMAN_OBSERVATION,29382.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6185033442,2026-09-23T07:34:06.001138+00:00
gbif,6185213952,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-03-07T16:35,-33.229722,115.698339,Australia,,,HUMAN_OBSERVATION,6264.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6185213952,2026-09-23T07:34:06.001138+00:00
gbif,6185362525,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-03-09T08:55:59,27.763643,-80.376572,United States of America,,Juvenile,HUMAN_OBSERVATION,29704.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6185362525,2026-09-23T07:34:06.001138+00:00
gbif,6185891465,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-03-17T13:14:38,29.297494,-89.978233,United States of America,,Juvenile,HUMAN_OBSERVATION,29508.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6185891465,2026-09-23T07:34:06.001138+00:00
gbif,6234974372,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-03-08T08:43,17.681822,83.3274,India,,Adult,HUMAN_OBSERVATION,30716.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6234974372,2026-09-23T07:34:06.001138+00:00
gbif,6235914464,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-03-27T15:00,26.96959,-80.094032,United States of America,,,HUMAN_OBSERVATION,29798.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6235914464,2026-09-23T07:34:06.001138+00:00
gbif,6236036723,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-03-27T15:00,26.884083,-80.060323,United States of America,,,HUMAN_OBSERVATION,29798.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6236036723,2026-09-23T07:34:06.001138+00:00
gbif,6236219201,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-03-16T11:54:07,26.750382,-80.160023,United States of America,,,HUMAN_OBSERVATION,29822.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6236219201,2026-09-23T07:34:06.001138+00:00
gbif,6236375503,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-03-09T23:14:44,26.542993,-80.089289,United States of America,,,HUMAN_OBSERVATION,29845.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6236375503,2026-09-23T07:34:06.001138+00:00
gbif,6334050852,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-03-13T16:33:14,26.81007,-82.277928,United States of America,,,HUMAN_OBSERVATION,29798.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6334050852,2026-09-23T07:34:06.001138+00:00
gbif,6519486079,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-03-20T23:00:36,-27.277407,153.075363,Australia,,Juvenile,HUMAN_OBSERVATION,2519.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6519486079,2026-09-23T07:34:06.001138+00:00
gbif,6188346293,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-04-05T19:42,28.796978,-96.733665,United States of America,,,HUMAN_OBSERVATION,29582.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6188346293,2026-09-23T07:34:06.001138+00:00
gbif,6195567427,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-04-10T15:32:26,27.836233,-97.040695,United States of America,,,HUMAN_OBSERVATION,29680.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6195567427,2026-09-23T07:34:06.001138+00:00
gbif,6195617091,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-04-07T10:49,12.495551,98.662754,Myanmar,,Juvenile,HUMAN_OBSERVATION,96549.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6195617091,2026-09-23T07:34:06.001138+00:00
gbif,6195770114,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-04-09T13:22,28.107631,-96.849925,United States of America,,Juvenile,HUMAN_OBSERVATION,29656.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6195770114,2026-09-23T07:34:06.001138+00:00
gbif,6234759244,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-04-17T20:49,27.957405,-80.448034,United States of America,,Juvenile,HUMAN_OBSERVATION,29680.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6234759244,2026-09-23T07:34:06.001138+00:00
gbif,6235646153,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-04-04T15:58,26.963479,-79.787922,United States of America,,,HUMAN_OBSERVATION,29798.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6235646153,2026-09-23T07:34:06.001138+00:00
gbif,6236098602,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-04-26T14:30,8.655461,-76.704122,Colombia,,Adult,HUMAN_OBSERVATION,31271.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6236098602,2026-09-23T07:34:06.001138+00:00
gbif,6236555493,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-04-22T14:46:47,26.625931,-80.039158,United States of America,,,HUMAN_OBSERVATION,29822.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6236555493,2026-09-23T07:34:06.001138+00:00
gbif,6253288019,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-04-26,0.586606,9.288467,Gabon,,,HUMAN_OBSERVATION,31451.0,iNaturalist research-grade observations,http://creativecommons.org/publicdomain/zero/1.0/legalcode,https://www.gbif.org/occurrence/6253288019,2026-09-23T07:34:06.001138+00:00
gbif,6273825352,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-04-22T11:39:24,26.517033,-80.058555,United States of America,,,HUMAN_OBSERVATION,29845.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6273825352,2026-09-23T07:34:06.001138+00:00
gbif,6273845090,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-04-24T11:59,24.738347,-81.50429,United States of America,,,HUMAN_OBSERVATION,30047.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6273845090,2026-09-23T07:34:06.001138+00:00
gbif,6451874872,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-04-12T18:12,16.920764,94.282481,Myanmar,,Juvenile,HUMAN_OBSERVATION,30780.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6451874872,2026-09-23T07:34:06.001138+00:00
gbif,6518927657,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-04-11T10:14:14,27.718683,-82.687885,United States of America,,,HUMAN_OBSERVATION,29704.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6518927657,2026-09-23T07:34:06.001138+00:00
gbif,6252593084,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-05-01T00:00,-27.273695,152.978192,Australia,,Juvenile,HUMAN_OBSERVATION,202.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6252593084,2026-09-23T07:34:06.001138+00:00
gbif,6334156697,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-05-21T11:29,23.525331,-109.475837,Mexico,,,HUMAN_OBSERVATION,30175.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by/4.0/legalcode,https://www.gbif.org/occurrence/6334156697,2026-09-23T07:34:06.001138+00:00
gbif,6334182081,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-05-21T11:30,23.514275,-109.502864,Mexico,,,HUMAN_OBSERVATION,30175.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by/4.0/legalcode,https://www.gbif.org/occurrence/6334182081,2026-09-23T07:34:06.001138+00:00
gbif,6334193423,Carcharhinus leucas,"Carcharhinus leucas (Müller & Henle, 1839)",2026-05-18T14:49,23.351419,-109.575148,Mexico,,,HUMAN_OBSERVATION,30196.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by/4.0/legalcode,https://www.gbif.org/occurrence/6334193423,2026-09-23T07:34:06.001138+00:00
