source,source_record_id,species,scientific_name,observed_at,latitude,longitude,country,locality,life_stage,basis_of_record,coordinate_uncertainty_m,dataset_name,license,source_url,retrieved_at
gbif,5938331810,Carcharodon carcharias,"Carcharodon carcharias (Linnaeus, 1758)",2026-01-03T05:09:36,-32.777707,28.305201,South Africa,,,HUMAN_OBSERVATION,,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/5938331810,2026-09-23T07:33:58.049373+00:00
gbif,6130599895,Carcharodon carcharias,"Carcharodon carcharias (Linnaeus, 1758)",2026-01-24T17:04:55,34.390191,-119.542205,United States of America,,,HUMAN_OBSERVATION,14088.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6130599895,2026-09-23T07:33:58.049373+00:00
gbif,6131056188,Carcharodon carcharias,"Carcharodon carcharias (Linnaeus, 1758)",2026-01-14T15:23:51,-34.065503,22.227063,South Africa,,,HUMAN_OBSERVATION,4.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6131056188,2026-09-23T07:33:58.049373+00:00
gbif,6131342125,Carcharodon carcharias,"Carcharodon carcharias (Linnaeus, 1758)",2026-01-07T08:00:21,-35.22201,136.057349,Australia,,,HUMAN_OBSERVATION,7535.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6131342125,2026-09-23T07:33:58.049373+00:00
gbif,6147654727,Carcharodon carcharias,"Carcharodon carcharias (Linnaeus, 1758)",2026-01-31T19:40,-34.652601,20.278488,South Africa,,Juvenile,HUMAN_OBSERVATION,488.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6147654727,2026-09-23T07:33:58.049373+00:00
gbif,6195438618,Carcharodon carcharias,"Carcharodon carcharias (Linnaeus, 1758)",2026-01-27T12:42:20,35.288745,-120.849507,United States of America,,,HUMAN_OBSERVATION,28706.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6195438618,2026-09-23T07:33:58.049373+00:00
gbif,6195971925,Carcharodon carcharias,"Carcharodon carcharias (Linnaeus, 1758)",2026-01-27T10:41:29,35.316645,-120.944828,United States of America,,,HUMAN_OBSERVATION,28706.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6195971925,2026-09-23T07:33:58.049373+00:00
gbif,6480081628,Carcharodon carcharias,"Carcharodon carcharias (Linnaeus, 1758)",2026-01-19T13:45:33,-32.999638,28.185239,South Africa,,,HUMAN_OBSERVATION,29039.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6480081628,2026-09-23T07:33:58.049373+00:00
gbif,6147449610,Carcharodon carcharias,"Carcharodon carcharias (Linnaeus, 1758)",2026-02-06T10:00:42,37.806488,-122.452645,United States of America,,,HUMAN_OBSERVATION,10.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by/4.0/legalcode,https://www.gbif.org/occurrence/6147449610,2026-09-23T07:33:58.049373+00:00
gbif,6147658662,Carcharodon carcharias,"Carcharodon carcharias (Linnaeus, 1758)",2026-02-06T23:35,28.288623,124.596848,China,,Juvenile,HUMAN_OBSERVATION,318538.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6147658662,2026-09-23T07:33:58.049373+00:00
