source,source_record_id,species,scientific_name,observed_at,latitude,longitude,country,locality,life_stage,basis_of_record,coordinate_uncertainty_m,dataset_name,license,source_url,retrieved_at
gbif,6130690612,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-01-17T10:59:53,19.678773,-156.156033,United States of America,,,HUMAN_OBSERVATION,30545.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6130690612,2026-09-23T07:34:02.915214+00:00
gbif,6131322721,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-01-13,25.465109,-78.343065,Bahamas,,,HUMAN_OBSERVATION,120467.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6131322721,2026-09-23T07:34:02.915214+00:00
gbif,6131353965,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-01-13,25.513976,-78.243289,Bahamas,,,HUMAN_OBSERVATION,120467.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6131353965,2026-09-23T07:34:02.915214+00:00
gbif,6147510675,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-01-31,-0.998865,-90.975698,Ecuador,,,HUMAN_OBSERVATION,31449.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6147510675,2026-09-23T07:34:02.915214+00:00
gbif,6170998524,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-01-02T14:40:21,-0.840505,-90.810591,Ecuador,,,HUMAN_OBSERVATION,31449.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6170998524,2026-09-23T07:34:02.915214+00:00
gbif,6185544658,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-01-05T05:30,-24.11288,152.714019,Australia,,,HUMAN_OBSERVATION,637.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6185544658,2026-09-23T07:34:02.915214+00:00
gbif,6133086834,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-02-02T13:14:46,-28.258537,153.585572,Australia,,Juvenile,HUMAN_OBSERVATION,5.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6133086834,2026-09-23T07:34:02.915214+00:00
gbif,6178462868,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-02-25T06:44:16,-0.240028,73.565875,Maldives,,,HUMAN_OBSERVATION,31451.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6178462868,2026-09-23T07:34:02.915214+00:00
gbif,6188381210,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-02-23T09:32,18.153802,-63.082256,Anguilla,,,HUMAN_OBSERVATION,30683.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6188381210,2026-09-23T07:34:02.915214+00:00
gbif,6185212715,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-03-18T18:51,-4.753551,55.303923,Seychelles,,Juvenile,HUMAN_OBSERVATION,31398.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6185212715,2026-09-23T07:34:02.915214+00:00
gbif,6185218547,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-03-08,-0.202223,73.543621,Maldives,,,HUMAN_OBSERVATION,31451.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6185218547,2026-09-23T07:34:02.915214+00:00
gbif,6185645737,Galeocerdo cuvier,"Galeocerdo cuvier (Péron & Lesueur, 1822)",2026-03-20T10:02:14,17.822097,-63.172199,Sint Maarten (Dutch part),,,HUMAN_OBSERVATION,30699.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6185645737,2026-09-23T07:34:02.915214+00:00
