source,source_record_id,species,scientific_name,observed_at,latitude,longitude,country,locality,life_stage,basis_of_record,coordinate_uncertainty_m,dataset_name,license,source_url,retrieved_at
gbif,5938116839,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-01-03T11:02,3.717267,72.758961,Maldives,,,HUMAN_OBSERVATION,31418.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/5938116839,2026-09-23T07:34:08.019566+00:00
gbif,5938382709,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-01-03T09:28:03,9.98467,125.279289,Philippines,,,HUMAN_OBSERVATION,31218.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/5938382709,2026-09-23T07:34:08.019566+00:00
gbif,5938466615,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-01-03T11:33,-16.070685,145.816655,Australia,,,HUMAN_OBSERVATION,30841.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/5938466615,2026-09-23T07:34:08.019566+00:00
gbif,5938701783,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-01-03T13:31:55,24.185278,-110.449444,Mexico,,,HUMAN_OBSERVATION,,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/5938701783,2026-09-23T07:34:08.019566+00:00
gbif,6129891383,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-01-03T12:06:41,3.580424,72.911816,Maldives,,,HUMAN_OBSERVATION,31422.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6129891383,2026-09-23T07:34:08.019566+00:00
gbif,6130161054,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-01-18T08:09:21,9.95858,123.32656,Philippines,,,HUMAN_OBSERVATION,31218.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6130161054,2026-09-23T07:34:08.019566+00:00
gbif,6130179118,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-01-16T11:35:34,24.204339,-110.455677,Mexico,,,HUMAN_OBSERVATION,6801.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6130179118,2026-09-23T07:34:08.019566+00:00
gbif,6130202870,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-01-26T11:34:27,-8.355381,126.188598,Timor-Leste,,,HUMAN_OBSERVATION,86725.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6130202870,2026-09-23T07:34:08.019566+00:00
gbif,6130536863,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-01-05T15:29:36,24.376432,-110.668881,Mexico,,,HUMAN_OBSERVATION,5588.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6130536863,2026-09-23T07:34:08.019566+00:00
gbif,6130983948,Rhincodon typus,"Rhincodon typus Smith, 1828",2026-01-16,3.504224,72.81049,Maldives,,,HUMAN_OBSERVATION,31422.0,iNaturalist research-grade observations,http://creativecommons.org/licenses/by-nc/4.0/legalcode,https://www.gbif.org/occurrence/6130983948,2026-09-23T07:34:08.019566+00:00
