attack_row_id,date_complete,annee,pays,zone,localite,activite,type_attaque,attack_latitude,attack_longitude,species,nearest_gbif_record_id,nearest_distance_km,gbif_coordinate_uncertainty_m,distance_band,occurrences_within_25km,occurrences_within_100km,juvenile_occurrences_within_100km,gbif_observed_at,gbif_source_url
37,1788-05-10,1788,AUSTRALIA,New South Wales,Sydney Harbor,Fishing,Watercraft,-33.8661645,151.1995721,Carcharhinus leucas,6481240461,13.42,17.0,proximite_forte,1,1,0,2026-01-22T00:00,https://www.gbif.org/occurrence/6481240461
37,1788-05-10,1788,AUSTRALIA,New South Wales,Sydney Harbor,Fishing,Watercraft,-33.8661645,151.1995721,Carcharodon carcharias,6159298926,249.7,,pas_de_proximite_100km,0,0,0,2026-02-03T04:38:07,https://www.gbif.org/occurrence/6159298926
37,1788-05-10,1788,AUSTRALIA,New South Wales,Sydney Harbor,Fishing,Watercraft,-33.8661645,151.1995721,Galeocerdo cuvier,6133086834,663.6,5.0,pas_de_proximite_100km,0,0,0,2026-02-02T13:14:46,https://www.gbif.org/occurrence/6133086834
37,1788-05-10,1788,AUSTRALIA,New South Wales,Sydney Harbor,Fishing,Watercraft,-33.8661645,151.1995721,Rhincodon typus,6235620031,2050.57,28818.0,pas_de_proximite_100km,0,0,0,2026-02-19T12:26,https://www.gbif.org/occurrence/6235620031
50,1810-09-15,1810,USA,South Carolina,Charleston,Fell into the water,Unprovoked,32.7884363,-79.9399309,Carcharhinus leucas,6130999421,416.72,29533.0,pas_de_proximite_100km,0,0,0,2026-01-17T15:30:29,https://www.gbif.org/occurrence/6130999421
50,1810-09-15,1810,USA,South Carolina,Charleston,Fell into the water,Unprovoked,32.7884363,-79.9399309,Carcharodon carcharias,6441095820,12.67,257.0,proximite_forte,1,1,0,2026-03-27T20:47:37,https://www.gbif.org/occurrence/6441095820
50,1810-09-15,1810,USA,South Carolina,Charleston,Fell into the water,Unprovoked,32.7884363,-79.9399309,Galeocerdo cuvier,6399752821,175.33,28902.0,pas_de_proximite_100km,0,0,0,2026-06-04T11:19,https://www.gbif.org/occurrence/6399752821
50,1810-09-15,1810,USA,South Carolina,Charleston,Fell into the water,Unprovoked,32.7884363,-79.9399309,Rhincodon typus,6253026970,938.31,30069.0,pas_de_proximite_100km,0,0,0,2026-04-27T07:00,https://www.gbif.org/occurrence/6253026970
61,1823-12-30,1823,JAMAICA,,,Inconnue,Invalid,18.1850507,-77.3947693,Carcharhinus leucas,6178405378,762.18,70575.0,pas_de_proximite_100km,0,0,0,2026-02-18T16:22,https://www.gbif.org/occurrence/6178405378
61,1823-12-30,1823,JAMAICA,,,Inconnue,Invalid,18.1850507,-77.3947693,Carcharodon carcharias,6441095820,1640.26,257.0,pas_de_proximite_100km,0,0,0,2026-03-27T20:47:37,https://www.gbif.org/occurrence/6441095820
61,1823-12-30,1823,JAMAICA,,,Inconnue,Invalid,18.1850507,-77.3947693,Galeocerdo cuvier,6131322721,815.39,120467.0,pas_de_proximite_100km,0,0,0,2026-01-13,https://www.gbif.org/occurrence/6131322721
61,1823-12-30,1823,JAMAICA,,,Inconnue,Invalid,18.1850507,-77.3947693,Rhincodon typus,6253026970,869.2,30069.0,pas_de_proximite_100km,0,0,0,2026-04-27T07:00,https://www.gbif.org/occurrence/6253026970
68,1826-05-20,1826,JAMAICA,,,Jumped overboard,Unprovoked,18.1850507,-77.3947693,Carcharhinus leucas,6178405378,762.18,70575.0,pas_de_proximite_100km,0,0,0,2026-02-18T16:22,https://www.gbif.org/occurrence/6178405378
68,1826-05-20,1826,JAMAICA,,,Jumped overboard,Unprovoked,18.1850507,-77.3947693,Carcharodon carcharias,6441095820,1640.26,257.0,pas_de_proximite_100km,0,0,0,2026-03-27T20:47:37,https://www.gbif.org/occurrence/6441095820
68,1826-05-20,1826,JAMAICA,,,Jumped overboard,Unprovoked,18.1850507,-77.3947693,Galeocerdo cuvier,6131322721,815.39,120467.0,pas_de_proximite_100km,0,0,0,2026-01-13,https://www.gbif.org/occurrence/6131322721
68,1826-05-20,1826,JAMAICA,,,Jumped overboard,Unprovoked,18.1850507,-77.3947693,Rhincodon typus,6253026970,869.2,30069.0,pas_de_proximite_100km,0,0,0,2026-04-27T07:00,https://www.gbif.org/occurrence/6253026970
83,1832-01-23,1832,AUSTRALIA,New South Wales,Sydney,Bathing,Unprovoked,-33.8698439,151.2082848,Carcharhinus leucas,6481240461,14.31,17.0,proximite_forte,1,1,0,2026-01-22T00:00,https://www.gbif.org/occurrence/6481240461
83,1832-01-23,1832,AUSTRALIA,New South Wales,Sydney,Bathing,Unprovoked,-33.8698439,151.2082848,Carcharodon carcharias,6159298926,249.62,,pas_de_proximite_100km,0,0,0,2026-02-03T04:38:07,https://www.gbif.org/occurrence/6159298926
83,1832-01-23,1832,AUSTRALIA,New South Wales,Sydney,Bathing,Unprovoked,-33.8698439,151.2082848,Galeocerdo cuvier,6133086834,663.7,5.0,pas_de_proximite_100km,0,0,0,2026-02-02T13:14:46,https://www.gbif.org/occurrence/6133086834
