date_complete,annee,pays,zone,localite,activite,type_attaque,sexe,age,tranche_age,geocoded_query,latitude,longitude,geocode_status,geocode_source
,1000,USA,Puerto Rico,Archeological site,Inconnue,Unprovoked,M,29.0,20-29,"Archeological site, Puerto Rico, USA",,,not_requested,Nominatim/OpenStreetMap
,1500,MEXICO,,,Inconnue,Unprovoked,M,,,MEXICO,,,not_requested,Nominatim/OpenStreetMap
,1518,MEXICO,Yucatan,Cozumel,Swmming,Unprovoked,M,,,"Cozumel, Yucatan, MEXICO",,,not_requested,Nominatim/OpenStreetMap
,1543,VENEZUELA,Magarita or Cubagua Islands,,Pearl diving,Unprovoked,M,,,"Magarita or Cubagua Islands, VENEZUELA",,,not_requested,Nominatim/OpenStreetMap
,1554,FRANCE,Nice & Marseilles,,Inconnue,Unprovoked,M,,,"Nice & Marseilles, FRANCE",,,not_requested,Nominatim/OpenStreetMap
,1580,BETWEEN PORTUGAL & INDIA,,,Man fell overboard from ship. Those on board threw a rope to him with a wooden block & were pulling him to the ship,Unprovoked,M,,,BETWEEN PORTUGAL & INDIA,,,not_requested,Nominatim/OpenStreetMap
,1595,INDIA,Kerala,River Cochin,Ship lay at anchor & man was working on its rudder,Unprovoked,M,,,"River Cochin, Kerala, INDIA",,,not_requested,Nominatim/OpenStreetMap
,1617,INDIA,West Bengal,Ganges Delta,Inconnue,Unprovoked,,,,"Ganges Delta, West Bengal, INDIA",,,not_requested,Nominatim/OpenStreetMap
,1637,INDIA,West Bengal,Hooghly River mouth,Wading,Unprovoked,,,,"Hooghly River mouth, West Bengal, INDIA",,,not_requested,Nominatim/OpenStreetMap
,1640,USA,Maryland,a tidal river,Wading,Unprovoked,M,,,"a tidal river, Maryland, USA",,,not_requested,Nominatim/OpenStreetMap
,1642,USA,New York,Between Manhattan and The Bronx,Swimming,Unprovoked,M,,,"Between Manhattan and The Bronx, New York, USA",,,not_requested,Nominatim/OpenStreetMap
,1642,GUINEA,,,Went overboard,Invalid,M,,,GUINEA,,,not_requested,Nominatim/OpenStreetMap
,1700,BARBADOS,,,Bathing,Unprovoked,M,,,BARBADOS,,,not_requested,Nominatim/OpenStreetMap
,1700,FRANCE,Côte d'Azur,Antibes,Bathing,Unprovoked,M,,,"Antibes, Côte d'Azur, FRANCE",,,not_requested,Nominatim/OpenStreetMap
,1700,FRANCE,,Nice,Inconnue,Unprovoked,M,,,"Nice, FRANCE",,,not_requested,Nominatim/OpenStreetMap
1703-03-26,1703,BARBADOS,Southwest coast,Carlisle Bay,Swimming,Unprovoked,M,19.0,10-19,"Carlisle Bay, Southwest coast, BARBADOS",,,not_requested,Nominatim/OpenStreetMap
1721-06-01,1721,ITALY,Sardinia,"Ponte della Maddelena,",Swimming,Unprovoked,M,,,"Ponte della Maddelena,, Sardinia, ITALY",,,not_requested,Nominatim/OpenStreetMap
1723-01-01,1723,ROATAN,,,Inconnue,Unprovoked,M,,,ROATAN,,,not_requested,Nominatim/OpenStreetMap
1733-01-01,1733,ICELAND,Bardestrand,Talkknefiord,Inconnue,Invalid,,,,"Talkknefiord, Bardestrand, ICELAND",,,not_requested,Nominatim/OpenStreetMap
1738-04-06,1738,ITALY,Sicily,Strait of Messina,Swimming,Unprovoked,M,,,"Strait of Messina, Sicily, ITALY",,,not_requested,Nominatim/OpenStreetMap
