rang,pays,zone,localite,incidents_declares
1,USA,Florida,"New Smyrna Beach, Volusia County",190
2,USA,Florida,"Daytona Beach, Volusia County",34
3,USA,Florida,"Ponce Inlet, Volusia County",26
4,USA,Florida,"Melbourne Beach, Brevard County",21
5,BAHAMAS,Inconnu,Inconnu,20
6,USA,Florida,"Cocoa Beach, Brevard  County",19
7,USA,South Carolina,"Myrtle Beach, Horry County",19
8,USA,South Carolina,"Isle of Palms, Charleston County",16
9,BRAZIL,Pernambuco,"Boa Viagem, Recife",14
10,BRAZIL,Pernambuco,Piedade,14
11,SOUTH AFRICA,KwaZulu-Natal,Durban,13
12,USA,Florida,"Cocoa Beach, Brevard County",13
13,USA,Florida,"Jacksonville Beach, Duval County",13
14,USA,Florida,"Jensen Beach, Martin County",13
15,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",12
16,SOUTH AFRICA,Western Cape Province,Mossel Bay,11
17,USA,Florida,Inconnu,11
18,USA,Florida,"Juno Beach, Palm Beach County",11
19,USA,Florida,"Ormond Beach, Volusia County",11
20,USA,Hawaii,Inconnu,11
21,ATLANTIC OCEAN,Inconnu,Inconnu,10
22,AUSTRALIA,New South Wales,Sydney,10
23,AUSTRALIA,New South Wales,Sydney Harbor,10
24,AUSTRALIA,Torres Strait,Inconnu,10
25,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",10
26,MOZAMBIQUE,Gaza,Xai Xai,10
27,SOUTH AFRICA,Eastern Cape Province,Nahoon,10
28,USA,Florida,Florida Keys,10
29,USA,Florida,"Florida Keys, Monroe County",10
30,USA,Florida,"Palm Beach, Palm Beach County",10
31,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",10
32,USA,Florida,"Vero Beach, Indian River County",10
33,AUSTRALIA,Queensland,Brisbane River,9
34,AUSTRALIA,Torres Strait,Thursday Island,9
35,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",9
36,AUSTRALIA,Inconnu,Inconnu,8
37,AUSTRALIA,New South Wales,Inconnu,8
38,AUSTRALIA,New South Wales,Newcastle,8
39,AUSTRALIA,Torres Strait,Near Thursday Island,8
40,CUBA,Havana Province,Havana Harbor,8
41,JAMAICA,Inconnu,Inconnu,8
42,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",8
43,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,8
44,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",8
45,SOUTH AFRICA,Western Cape Province,False Bay,8
46,USA,Florida,"Sanibel Island, Lee County",8
47,USA,South Carolina,"Folly Beach, Charleston County",8
48,VIETNAM,Binh Dinh Province,Quy Nhon,8
49,AUSTRALIA,New South Wales,Coogee,7
50,AUSTRALIA,Queensland,Brisbane,7
51,AUSTRALIA,Queensland,Moreton Bay,7
52,AUSTRALIA,Queensland,"Ross River, Townsville",7
53,AUSTRALIA,Western Australia,Bunbury,7
54,FIJI,Inconnu,Inconnu,7
55,HONG KONG,Mirs Bay,Inconnu,7
56,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",7
57,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,7
58,USA,Alabama,"Gulf Shores, Baldwin County",7
59,USA,California,"Huntington Beach, Orange County",7
60,USA,Florida,"Daytona Beach Shores, Volusia County",7
61,USA,Florida,"Fort Lauderdale, Broward County",7
62,USA,Florida,"Jacksonville, Duval County",7
63,USA,Florida,"Marathon, Monroe County",7
64,USA,Florida,"Pensacola Bay, Escambia County",7
65,USA,Florida,"Riviera Beach, Palm Beach County",7
66,AUSTRALIA,New South Wales,Bondi,6
67,AUSTRALIA,New South Wales,Byron Bay,6
68,AUSTRALIA,New South Wales,Wollongong,6
69,AUSTRALIA,Queensland,Great Barrier Reef,6
70,AUSTRALIA,Queensland,Townsville,6
71,NEW CALEDONIA,Inconnu,Inconnu,6
72,NEW ZEALAND,South Island,Oreti Beach,6
73,SOUTH AFRICA,Eastern Cape Province,East London,6
74,SOUTH AFRICA,Eastern Cape Province,Port Alfred,6
75,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,6
76,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",6
77,USA,Florida,"Bethune Beach, Volusia County",6
78,USA,Florida,"Jupiter, Palm Beach County",6
79,USA,Florida,"Key West, Monroe County",6
80,USA,Florida,New Smyrna Beach,6
81,USA,Florida,"Panama City, Bay County",6
82,USA,Florida,"Playalinda Beach, Brevard County",6
83,USA,Hawaii,Maui,6
84,USA,North Carolina,"Ocean Isle, Brunswick County",6
85,USA,South Carolina,Charleston,6
86,USA,Texas,Galveston,6
87,AUSTRALIA,New South Wales,Lake Macquarie,5
88,AUSTRALIA,New South Wales,Lennox Head,5
89,AUSTRALIA,Northern Territory,Darwin,5
90,AUSTRALIA,Western Australia,Albany,5
91,AUSTRALIA,Western Australia,Rottnest Island,5
92,BAHAMAS,New Providence Island,Nassau,5
93,EGYPT,Mediterranean Sea,Port Said,5
94,NEW CALEDONIA,South Province,Noumea,5
95,PACIFIC OCEAN,Inconnu,Inconnu,5
96,PHILIPPINES,Inconnu,Inconnu,5
97,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",5
98,SOUTH AFRICA,Inconnu,Inconnu,5
99,SOUTH AFRICA,KwaZulu-Natal,"Back Beach, Durban",5
100,SOUTH AFRICA,KwaZulu-Natal,Isipingo,5
101,SOUTH AFRICA,KwaZulu-Natal,Margate,5
102,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,5
103,SOUTH AFRICA,Western Cape Province,Macassar,5
104,SOUTH AFRICA,Western Cape Province,Muizenberg,5
105,USA,California,"La Jolla, San Diego County",5
106,USA,California,"San Onofre, San Diego County",5
107,USA,Florida,"Fernandina Beach, Nassau County",5
108,USA,Florida,"Flagler Beach, Flagler County",5
109,USA,Florida,"Fort Pierce, St. Lucie County",5
110,USA,Florida,"Miami Beach, Miami-Dade County",5
111,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",5
112,USA,Florida,Palm Beach County,5
113,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",5
114,USA,Florida,"Ponce de Leon Inlet, Volusia County",5
115,USA,Florida,"Stuart Beach, Martin County",5
116,USA,North Carolina,"Emerald Isle, Carteret County",5
117,USA,North Carolina,"Wrightsville Beach, New Hanover County",5
118,USA,South Carolina,"Hilton Head Island, Beaufort County",5
119,USA,South Carolina,Inconnu,5
120,USA,South Carolina,"North Myrtle Beach, Horry County",5
121,USA,Texas,South Padre Island,5
122,AUSTRALIA,New South Wales,Avoca Beach,4
123,AUSTRALIA,New South Wales,Cronulla,4
124,AUSTRALIA,New South Wales,Evans Head,4
125,AUSTRALIA,New South Wales,Jervis Bay,4
126,AUSTRALIA,New South Wales,"Marineland, Sydney",4
127,AUSTRALIA,New South Wales,Maroubra,4
128,AUSTRALIA,New South Wales,Parramatta River,4
129,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",4
130,AUSTRALIA,South Australia,Glenelg,4
131,AUSTRALIA,South Australia,Streaky Bay,4
132,AUSTRALIA,Western Australia,Geraldton,4
133,BAHAMAS,Abaco Islands,Inconnu,4
134,BRAZIL,Inconnu,Inconnu,4
135,BRAZIL,Pernambuco,Paiva,4
136,BRAZIL,Pernambuco,Piedade Beach,4
137,BRAZIL,Pernambuco,"Piedade Beach, Recife",4
138,BRAZIL,Pernambuco,"Piedade, Recife",4
139,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",4
140,CUBA,Havana Province,Cojimar,4
141,FRENCH POLYNESIA,Society Islands,Tahiti,4
142,INDONESIA,Bali,Balian,4
143,JAMAICA,Kingston Parish,Kingston Harbor,4
144,MEXICO,Inconnu,Inconnu,4
145,MEXICO,Tamaulipas,Tampico,4
146,MEXICO,Veracruz,"Villa del Mar Beach, Veracruz",4
147,PAPUA NEW GUINEA,New Ireland Province,Inconnu,4
148,SOLOMON ISLANDS,Inconnu,Inconnu,4
149,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,4
150,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",4
151,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,4
152,SOUTH AFRICA,KwaZulu-Natal,"Battery Beach, Durban",4
153,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,4
154,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",4
155,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,4
156,SOUTH AFRICA,KwaZulu-Natal,Richards Bay,4
157,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,4
158,SOUTH AFRICA,Western Cape Province,Arniston,4
159,SOUTH AFRICA,Western Cape Province,Dyer Island,4
160,SOUTH AFRICA,Western Cape Province,Hartenbos,4
161,USA,California,"Dillon Beach, Marin County",4
162,USA,California,Farallon Islands,4
163,USA,California,"Franklin Point, San Mateo County",4
164,USA,California,"Moonstone Beach, Humboldt County",4
165,USA,California,"San Onofre State Beach, San Diego County",4
166,USA,California,"Santa Monica, Los Angeles County",4
167,USA,California,"Tomales Point, Marin County",4
168,USA,California,"Venice Beach, Los Angeles County",4
169,USA,Florida,"Anna Maria Island, Manatee County",4
170,USA,Florida,"Floridana Beach, Brevard County",4
171,USA,Florida,"Indialantic, Brevard County",4
172,USA,Florida,"Indiatlantic, Brevard County",4
173,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",4
174,USA,Georgia,"Tybee Island, Chatham County",4
175,USA,Hawaii,Kauai,4
176,USA,Hawaii,"Olowalu, Maui",4
177,USA,Inconnu,Inconnu,4
178,USA,New Jersey,"Atlantic City, Atlantic County",4
179,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",4
180,USA,North Carolina,"Bald Head Island, Brunswick County",4
181,USA,North Carolina,"North Topsail Beach, Onslow County",4
182,USA,South Carolina,"Charleston Harbor, Charleston County",4
183,USA,South Carolina,"Pawleys Island, Georgetown County",4
184,USA,South Carolina,Sullivan's Island,4
185,AUSTRALIA,New South Wales,"Bar Beach, Newcastle",3
186,AUSTRALIA,New South Wales,"Botany Bay, Sydney",3
187,AUSTRALIA,New South Wales,Brunswick Heads,3
188,AUSTRALIA,New South Wales,Crescent Head,3
189,AUSTRALIA,New South Wales,Hawkesbury River,3
190,AUSTRALIA,New South Wales,Lighthouse Beach,3
191,AUSTRALIA,New South Wales,Maroubra Beach,3
192,AUSTRALIA,New South Wales,Newcastle Beach,3
193,AUSTRALIA,New South Wales,North Bondi,3
194,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",3
195,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",3
196,AUSTRALIA,Queensland,"Cid Harbor, Whitsundays",3
197,AUSTRALIA,Queensland,Fraser Island,3
198,AUSTRALIA,Queensland,Inconnu,3
199,AUSTRALIA,Queensland,Lizard Island,3
200,AUSTRALIA,Queensland,Mermaid Waters,3
201,AUSTRALIA,Queensland,Near Moreton Island in Moreton Bay,3
202,AUSTRALIA,Queensland,North West Island,3
